state,2018,2019,2020,2021,average,2020_pop,2020_whitepop,2020_white_per,2020_minority_per,conv_18to21,conv_per100K,conv_white_per,conv_minority_per,by_white_pop,by_minority_pop
Alabama,4891628,4907965,4921532,5039877,4940250.5,3917166,2595046,0.662480477,0.337519523,3667,94.0,0.34196891191709844,0.6580310880829016,0.3205115650829016,-0.3205115650829016
Alaska,736624,733603,731158,732673,733514.5,554003,349626,0.631090445,0.368909555,612,110.0,0.4591503267973856,0.5408496732026145,0.1719401182026144,-0.17194011820261446
Arizona,7164228,7291843,7421401,7276316,7288447.0,5541976,3549308,0.640440882,0.35955911799999996,18052,326.0,0.05290272545978285,0.9470972745402172,0.5875381565402172,-0.5875381565402172
Arkansas,3012161,3020985,3030522,3025891,3022389.75,2312273,1683440,0.728045521,0.271954479,2830,122.0,0.36289752650176677,0.6371024734982332,0.3651479944982332,-0.3651479944982332
California,39437463,39437610,39368078,39237836,39370246.75,30827105,13443813,0.43610365,0.56389635,20655,67.0,0.13667392883079157,0.8633260711692085,0.2994297211692084,-0.2994297211692084
Colorado,5697155,5758486,5807719,5812069,5768857.25,4509576,3308162,0.73358604,0.26641395999999995,1714,38.0,0.2526254375729288,0.7473745624270711,0.4809606024270712,-0.48096060242707117
Connecticut,3574561,3566022,3557006,3605597,3575796.5,2869227,1989916,0.693537319,0.30646268099999996,1226,43.0,0.2544861337683524,0.7455138662316476,0.43905118523164766,-0.43905118523164766
Delaware,966985,976668,986809,1003384,983461.5,783543,500550,0.638829011,0.361170989,322,41.0,0.2236024844720497,0.7763975155279503,0.41522652652795033,-0.41522652652795033
District of Columbia,704147,708253,712816,670050,698816.5,575161,244170,0.424524611,0.575475389,1026,178.0,0.1695906432748538,0.8304093567251463,0.2549339677251462,-0.2549339677251463
Florida,21254926,21492056,21733312,21781128,21565355.5,17339232,10438522,0.602017552,0.39798244800000004,11971,69.0,0.18561523682232062,0.8143847631776794,0.41640231517767934,-0.41640231517767934
Georgia,10519389,10628020,10710017,10799566,10664248.0,8220274,4465194,0.543192842,0.45680715800000005,5169,63.0,0.22963822789707874,0.7703617721029212,0.3135546141029212,-0.3135546141029212
Hawaii,1423102,1415615,1407006,1441553,1421819.0,1155905,290286,0.251133095,0.7488669050000001,555,48.0,0.1837837837837838,0.8162162162162162,0.06734931121621618,-0.06734931121621612
Idaho,1752074,1789060,1826913,1900923,1817242.5,1376400,1156336,0.840116245,0.15988375499999996,1229,89.0,0.5183075671277462,0.48169243287225383,0.32180867787225387,-0.32180867787225387
Illinois,12724685,12667017,12587530,12671469,12662675.25,9999469,6382030,0.63823689,0.36176311000000005,4179,42.0,0.3053362048336923,0.6946637951663077,0.33290068516630766,-0.33290068516630766
Indiana,6698481,6731010,6754953,6805985,6747607.25,5192579,4137310,0.796773626,0.203226374,3050,59.0,0.3465573770491803,0.6534426229508197,0.4502162489508197,-0.4502162489508197
Iowa,3149900,3159596,3163561,3193079,3166534.0,2450103,2126641,0.867980244,0.13201975600000004,3159,129.0,0.48148148148148145,0.5185185185185186,0.3864987625185185,-0.38649876251851856
Kansas,2912748,2912635,2913805,2934582,2918442.5,2229316,1743825,0.782224234,0.21777576600000004,1546,69.0,0.41979301423027165,0.5802069857697283,0.3624312197697283,-0.36243121976972825
Kentucky,4464273,4472345,4477251,4509394,4480815.75,3483900,2933597,0.842043974,0.15795602600000003,2919,84.0,0.48612538540596095,0.513874614594039,0.355918588594039,-0.355918588594039
Louisiana,4664450,4658285,4645318,4624047,4648025.0,3570548,2124511,0.595009786,0.404990214,2509,70.0,0.25627740135512156,0.7437225986448784,0.3387323846448784,-0.3387323846448784
Maine,1340123,1345770,1350141,1372247,1352070.25,1110085,1023211,0.921741128,0.07825887200000003,619,56.0,0.6235864297253635,0.3764135702746365,0.2981546982746365,-0.2981546982746365
Maryland,6042153,6054954,6055802,6165129,6079509.5,4815202,2461512,0.511196,0.488804,2415,50.0,0.15734989648033126,0.8426501035196687,0.3538461035196687,-0.3538461035196687
Massachusetts,6885720,6894883,6893574,6984723,6914725.0,5663723,4086011,0.721435529,0.27856447100000004,1700,30.0,0.2888235294117647,0.7111764705882353,0.43261199958823526,-0.43261199958823526
Michigan,9987286,9984795,9966555,10050811,9997361.75,7914602,6021926,0.76086277,0.23913722999999998,3931,50.0,0.2520987026201984,0.7479012973798016,0.5087640673798016,-0.5087640673798016
Minnesota,5608762,5640053,5657342,5707390,5653386.75,4389033,3550129,0.808863593,0.191136407,1197,27.0,0.3609022556390977,0.6390977443609023,0.44796133736090227,-0.44796133736090227
Mississippi,2982879,2978227,2966786,2949965,2969464.25,2277599,1328758,0.583402961,0.416597039,1924,84.0,0.22193347193347193,0.7780665280665281,0.3614694890665281,-0.3614694890665281
Missouri,6125986,6140475,6151548,6168187,6146549.0,4775612,3772337,0.789916978,0.21008302199999995,6490,136.0,0.23682588597842835,0.7631741140215716,0.5530910920215717,-0.5530910920215717
Montana,1061818,1070123,1080577,1104271,1079197.25,850123,737204,0.867173338,0.13282666200000004,1308,154.0,0.5321100917431193,0.4678899082568807,0.33506324625688066,-0.33506324625688066
Nebraska,1925512,1932571,1937552,1963692,1939831.75,1476127,1199242,0.812424676,0.187575324,1786,121.0,0.33202687569988804,0.6679731243001119,0.480397800300112,-0.4803978003001119
Nevada,3030725,3090771,3138259,3143991,3100936.5,2413326,1311982,0.543640602,0.456359398,1415,59.0,0.2862190812720848,0.7137809187279152,0.2574215207279152,-0.25742152072791513
New Hampshire,1355064,1360783,1366275,1388992,1367778.5,1120680,1005446,0.89717493,0.10282506999999996,732,65.0,0.5560109289617486,0.44398907103825136,0.3411640010382514,-0.3411640010382514
New Jersey,8891730,8891258,8882371,9267130,8983122.25,7281310,4167391,0.572340829,0.42765917099999995,2212,30.0,0.20027124773960217,0.7997287522603979,0.3720695812603979,-0.3720695812603979
New Mexico,2093754,2099634,2106319,2115877,2103896.0,1638989,876177,0.53458382,0.46541617999999996,11611,708.0,0.04159848419602102,0.958401515803979,0.492985335803979,-0.4929853358039791
New York,19544098,19463131,19336776,19835913,19544979.5,16088135,9153551,0.568962841,0.43103715899999995,9193,57.0,0.2543239421298814,0.7456760578701186,0.31463889887011864,-0.31463889887011864
North Carolina,10391358,10501384,10600823,10551162,10511181.75,8155099,5300137,0.649916942,0.35008305799999995,6587,81.0,0.23986640352208896,0.760133596477911,0.41005053847791106,-0.41005053847791106
North Dakota,760062,763724,765309,774948,766010.75,596093,509175,0.854187182,0.145812818,1139,191.0,0.3169446883230904,0.6830553116769096,0.5372424936769096,-0.5372424936769096
Ohio,11680892,11696507,11693217,11780017,11712658.25,9207562,7297449,0.792549537,0.20745046300000003,5103,55.0,0.2821869488536155,0.7178130511463845,0.5103625881463845,-0.5103625881463845
Oklahoma,3943488,3960676,3980783,3986639,3967896.5,3010698,2028656,0.673815839,0.32618416100000003,2908,97.0,0.3328748280605227,0.6671251719394773,0.34094101093947726,-0.34094101093947726
Oregon,4183538,4216116,4241507,4246155,4221829.0,3370652,2609035,0.774044606,0.22595539399999998,1545,46.0,0.41941747572815535,0.5805825242718446,0.35462713027184467,-0.35462713027184467
Pennsylvania,12809107,12798883,12783254,12964056,12838825.0,10353548,8011431,0.773786049,0.22621395099999997,5022,49.0,0.2964954201513341,0.7035045798486659,0.4772906288486659,-0.4772906288486659
Rhode Island,1059338,1058158,1057125,1095610,1067557.75,887594,661221,0.744958844,0.255041156,384,43.0,0.3046875,0.6953125,0.440271344,-0.440271344
South Carolina,5091702,5157702,5218040,5190705,5164537.25,4014460,2645357,0.65895712,0.34104288000000005,2920,73.0,0.27123287671232876,0.7287671232876712,0.3877242432876712,-0.3877242432876712
South Dakota,879386,887127,892717,895376,888651.5,669255,561954,0.839670977,0.16032902299999996,1836,274.0,0.28812636165577343,0.7118736383442266,0.5515446153442266,-0.5515446153442266
Tennessee,6778180,6830325,6886834,6975218,6867639.25,5384473,4013858,0.745450483,0.25454951699999995,5130,95.0,0.43879142300194934,0.5612085769980506,0.3066590599980507,-0.30665905999805065
Texas,28624564,28986794,29360759,29527941,29125014.5,21866700,11466950,0.524402402,0.475597598,67282,308.0,0.06771499063642579,0.9322850093635742,0.4566874113635742,-0.45668741136357416
Utah,3155153,3203383,3249879,3337975,3236597.5,2324051,1861739,0.801074933,0.198925067,2558,110.0,0.3534010946051603,0.6465989053948398,0.4476738383948397,-0.44767383839483976
Vermont,624802,624046,623347,645570,629441.25,524482,477428,0.910284814,0.08971518599999995,576,110.0,0.5104166666666666,0.48958333333333337,0.3998681473333334,-0.3998681473333334
Virginia,8510920,8556642,8590563,8642274,8575099.75,6745054,4235488,0.627939821,0.372060179,4943,73.0,0.2862634027918268,0.7137365972081732,0.3416764182081732,-0.3416764182081732
Washington,7526793,7614024,7693612,7738692,7643280.25,6024689,4190823,0.695608188,0.304391812,2510,42.0,0.35099601593625496,0.649003984063745,0.34461217206374506,-0.34461217206374506
West Virginia,1805953,1795263,1784787,1782959,1792240.5,1432932,1301276,0.908121251,0.09187874900000004,1952,136.0,0.5199795081967213,0.48002049180327866,0.3881417428032786,-0.3881417428032786
Wisconsin,5809319,5824581,5832655,5895908,5840615.75,4612300,3837032,0.831912928,0.16808707199999995,1567,34.0,0.3120612635609445,0.6879387364390555,0.5198516644390556,-0.5198516644390555
Wyoming,579054,580116,582328,578803,580075.25,441337,381441,0.864285115,0.13571488499999995,648,147.0,0.4537037037037037,0.5462962962962963,0.41058141129629633,-0.41058141129629633
